z,y,x,time
-0.6664886474609375,-0.736175537109375,-0.1624908447265625,1727699086146951
-0.6744232177734375,-0.7272186279296875,-0.129852294921875,1727699086156954
-0.6783599853515625,-0.721954345703125,-0.1042327880859375,1727699086166957
-0.67681884765625,-0.7239837646484375,-0.0963287353515625,1727699086176960
-0.673553466796875,-0.729644775390625,-0.097991943359375,1727699086186962
-0.6639556884765625,-0.7361297607421875,-0.1011962890625,1727699086196965
-0.63818359375,-0.737579345703125,-0.1068572998046875,1727699086206968
-0.61981201171875,-0.738922119140625,-0.111236572265625,1727699086216971
-0.60943603515625,-0.7419586181640625,-0.1056976318359375,1727699086226974
-0.6054840087890625,-0.743133544921875,-0.0921630859375,1727699086236977
-0.6174163818359375,-0.7387847900390625,-0.086151123046875,1727699086246979
-0.643524169921875,-0.737762451171875,-0.0807647705078125,1727699086256982
-0.66851806640625,-0.7381744384765625,-0.0819854736328125,1727699086266985
-0.6876220703125,-0.73699951171875,-0.08843994140625,1727699086276988
-0.70166015625,-0.73468017578125,-0.0923004150390625,1727699086286991
-0.70263671875,-0.7349090576171875,-0.0987091064453125,1727699086296994
-0.69390869140625,-0.7363433837890625,-0.1032562255859375,1727699086306996
-0.6815643310546875,-0.7342376708984375,-0.1031036376953125,1727699086316999
-0.6692047119140625,-0.7329559326171875,-0.0985107421875,1727699086327002
-0.662139892578125,-0.7315673828125,-0.0928497314453125,1727699086337005
-0.6623992919921875,-0.7309417724609375,-0.0829010009765625,1727699086347008
-0.659912109375,-0.7296142578125,-0.076202392578125,1727699086357011
-0.6602630615234375,-0.7273712158203125,-0.0728607177734375,1727699086367013
-0.66107177734375,-0.7259063720703125,-0.0692291259765625,1727699086377016
-0.662017822265625,-0.7310028076171875,-0.0648345947265625,1727699086387019
-0.6623992919921875,-0.735565185546875,-0.0626983642578125,1727699086397022
-0.658477783203125,-0.738861083984375,-0.0575408935546875,1727699086407025
-0.6530914306640625,-0.7386627197265625,-0.0470123291015625,1727699086417028
-0.6591644287109375,-0.7376861572265625,-0.0400543212890625,1727699086427030
-0.676971435546875,-0.7371368408203125,-0.0357818603515625,1727699086437033
-0.69287109375,-0.736053466796875,-0.03619384765625,1727699086447036
-0.708709716796875,-0.7305450439453125,-0.0403900146484375,1727699086457039
-0.724273681640625,-0.723236083984375,-0.0457763671875,1727699086467042
-0.73504638671875,-0.7190399169921875,-0.0556793212890625,1727699086477045
-0.74102783203125,-0.71759033203125,-0.06085205078125,1727699086487047
-0.7406158447265625,-0.71612548828125,-0.068084716796875,1727699086497050
-0.73822021484375,-0.7162017822265625,-0.069305419921875,1727699086507053
-0.7351531982421875,-0.7161712646484375,-0.071258544921875,1727699086517056
-0.7297210693359375,-0.71466064453125,-0.0709686279296875,1727699086527059
-0.7206573486328125,-0.7127532958984375,-0.070953369140625,1727699086537062
-0.7142333984375,-0.7126922607421875,-0.0749969482421875,1727699086547065
-0.706573486328125,-0.716033935546875,-0.08197021484375,1727699086557067
-0.6976776123046875,-0.7173614501953125,-0.089996337890625,1727699086567070
-0.69122314453125,-0.7154388427734375,-0.0937957763671875,1727699086577073
-0.69158935546875,-0.7135467529296875,-0.0939788818359375,1727699086587076
-0.695709228515625,-0.7111358642578125,-0.0971527099609375,1727699086597079
-0.70037841796875,-0.7125091552734375,-0.1031951904296875,1727699086607082
-0.7064666748046875,-0.713714599609375,-0.10662841796875,1727699086617084
-0.7020721435546875,-0.7173919677734375,-0.1123809814453125,1727699086627087
-0.68414306640625,-0.721343994140625,-0.1186065673828125,1727699086637090
-0.658782958984375,-0.721771240234375,-0.1232757568359375,1727699086647093
-0.6282958984375,-0.722381591796875,-0.1235198974609375,1727699086657096
-0.6085357666015625,-0.7259979248046875,-0.121978759765625,1727699086667099
-0.608428955078125,-0.7308349609375,-0.1127166748046875,1727699086677102
-0.6295623779296875,-0.7329559326171875,-0.0949554443359375,1727699086687104
-0.6696319580078125,-0.7257080078125,-0.081024169921875,1727699086697107
-0.71685791015625,-0.7209625244140625,-0.073944091796875,1727699086707110
-0.7486419677734375,-0.7256317138671875,-0.0739898681640625,1727699086717113
-0.755767822265625,-0.738494873046875,-0.08843994140625,1727699086727116
-0.756805419921875,-0.7550048828125,-0.1039581298828125,1727699086737119
-0.746795654296875,-0.772613525390625,-0.1116180419921875,1727699086747122
-0.715911865234375,-0.77972412109375,-0.11566162109375,1727699086757124
-0.6915740966796875,-0.7662811279296875,-0.1181793212890625,1727699086767127
-0.697845458984375,-0.7525787353515625,-0.126861572265625,1727699086777130
-0.70367431640625,-0.7514495849609375,-0.1515960693359375,1727699086787133
-0.686065673828125,-0.75042724609375,-0.1640167236328125,1727699086797136
-0.6632537841796875,-0.7482757568359375,-0.1591644287109375,1727699086807139
-0.6438140869140625,-0.7373504638671875,-0.117706298828125,1727699086817142
-0.6767120361328125,-0.7173614501953125,-0.0589141845703125,1727699086827144
-0.638427734375,-0.6967620849609375,-0.0933837890625,1727699086837147
-0.56048583984375,-0.7334136962890625,-0.0650787353515625,1727699086847150
-0.6040802001953125,-0.7727203369140625,0.001861572265625,1727699086857153
-0.5958251953125,-0.77093505859375,0.03656005859375,1727699086867156
-0.5394134521484375,-0.7989349365234375,0.0965728759765625,1727699086877159
-0.511016845703125,-0.8141326904296875,0.1352996826171875,1727699086887162
-0.4342803955078125,-0.8275146484375,0.1819305419921875,1727699086897164
-0.358612060546875,-0.8317413330078125,0.185882568359375,1727699086907167
-0.238037109375,-0.8147125244140625,0.16571044921875,1727699086917170
-0.1718902587890625,-0.8493804931640625,0.118194580078125,1727699086927173
-0.1505126953125,-0.9202880859375,0.067108154296875,1727699086937176
-0.1669158935546875,-0.9633636474609375,0.0419464111328125,1727699086947179
-0.230194091796875,-0.9655303955078125,0.0783233642578125,1727699086957182
-0.309051513671875,-0.940948486328125,0.1520233154296875,1727699086967184
-0.35089111328125,-0.934295654296875,0.207000732421875,1727699086977187
-0.3799591064453125,-0.921478271484375,0.255889892578125,1727699086987190
-0.373443603515625,-0.907196044921875,0.2835693359375,1727699086997193
-0.341217041015625,-0.9000091552734375,0.2914276123046875,1727699087007196
-0.2964324951171875,-0.894134521484375,0.281402587890625,1727699087017199
-0.248504638671875,-0.9066009521484375,0.2586517333984375,1727699087027202
-0.205108642578125,-0.935333251953125,0.2400970458984375,1727699087037204
-0.171844482421875,-0.9492645263671875,0.2451171875,1727699087047207
-0.1458892822265625,-0.952056884765625,0.2609405517578125,1727699087057210
-0.1282958984375,-0.925048828125,0.302032470703125,1727699087067213
-0.1085662841796875,-0.904693603515625,0.33404541015625,1727699087077216
-0.077972412109375,-0.9162139892578125,0.31915283203125,1727699087087219
-0.0699615478515625,-0.9092254638671875,0.303253173828125,1727699087097222
-0.0692291259765625,-0.8975677490234375,0.29351806640625,1727699087107225
-0.0728302001953125,-0.8984375,0.30419921875,1727699087117227
-0.0710601806640625,-0.917266845703125,0.3164215087890625,1727699087127230
-0.0511016845703125,-0.9405975341796875,0.3273468017578125,1727699087137233
-0.021148681640625,-0.95562744140625,0.3331756591796875,1727699087147236
